=== SHEET: background lists ===
COMPLETE	√	YES	X		1)	Yes	Phase	Description	Phase + Description		Description2	Phase + Description	Phase
INCOMPLETE	√+	NO		(NOT IN CONTRACT)	2)	No	01-1100-10000-	Meeting Supplies	01-1100-10000- - (Meeting Supplies)		Demolition	02-1000-10000- - (Demolition)	02-1000-10000-
[X] PLANS/SPECS	O	?		(NOT APPLICABLE)	3)		01-2001-10000-	Project Principal	01-2001-10000- - (Project Principal)		Architectural Demolition	02-1001-10000- - (Architectural Demolition)	02-1001-10000-
LATE	?			(SEE LINE #	4)		01-2002-10000-	Project Director	01-2002-10000- - (Project Director)		Structural Demolition	02-1002-10000- - (Structural Demolition)	02-1002-10000-
DECLINED				(BY OWNER)	5)		01-2003-10000-	Senior Project Manager	01-2003-10000- - (Senior Project Manager)		MEP Demolition	02-1003-10000- - (MEP Demolition)	02-1003-10000-
NO BID				(BY TRADES)	6)		01-2004-10000-	Project Manager	01-2004-10000- - (Project Manager)		Demo 1 (Self Perform)	02-1004-10000- - (Demo 1 (Self Perform))	02-1004-10000-
				(ALTERNATE #	7)		01-2005-10000-	Ass't Project Manager	01-2005-10000- - (Ass't Project Manager)		Demo 2 (Self Perform)	02-1005-10000- - (Demo 2 (Self Perform))	02-1005-10000-
				(ADJACENT WAYS)	8)		01-2006-10000-	Scheduler	01-2006-10000- - (Scheduler)		Demo 3 (Self Perform)	02-1006-10000- - (Demo 3 (Self Perform))	02-1006-10000-
				(FF&E)	9)		01-2007-10000-	Project Coordination	01-2007-10000- - (Project Coordination)		Site Demolition	02-1007-10000- - (Site Demolition)	02-1007-10000-
SPARE	-			(NONE FOUND)	10)		01-2008-10000-	Information Techonology	01-2008-10000- - (Information Techonology)		Building Demolition	02-1008-10000- - (Building Demolition)	02-1008-10000-
Bluebeam (Select GMP Total)				(SFB)	11)		01-2009-10000-	Intern	01-2009-10000- - (Intern)		Surveying/Staking	02-1010-10000- - (Surveying/Staking)	02-1010-10000-
BLUEBEAM (GMP<$2M)	3000				12)		01-2010-10000-	Director of Field Operations	01-2010-10000- - (Director of Field Operations)		Environmental Assessments	02-1030-10000- - (Environmental Assessments)	02-1030-10000-
BLUEBEAM (GMP $2M - $5M)	5000				13)		01-2011-10000-	Senior Proj. Superintendent	01-2011-10000- - (Senior Proj. Superintendent)		Transactional Survey	02-1035-10000- - (Transactional Survey)	02-1035-10000-
BLUEBEAM (GMP $5M - $10M)	7000				14)		01-2012-10000-	Project Superintendent	01-2012-10000- - (Project Superintendent)		Soil Remediation	02-1040-10000- - (Soil Remediation)	02-1040-10000-
BLUEBEAM (GMP $10M - $25M)	10000				15)		01-2013-10000-	Assistant Superintendent	01-2013-10000- - (Assistant Superintendent)		Snow Fencing	02-1050-10000- - (Snow Fencing)	02-1050-10000-
BLUEBEAM (GMP $25M - $50M)	14000				16)		01-2014-10000-	Safety Director	01-2014-10000- - (Safety Director)		Sawcut & Core Drill	02-1100-10000 - (Sawcut & Core Drill)	02-1100-10000
BLUEBEAM (GMP >$50M)	17000				17)		01-2015-10000-	Project Carpenter	01-2015-10000- - (Project Carpenter)		Hazardous Material Abatement	02-1110-10000- - (Hazardous Material Abatement)	02-1110-10000-
VIRTUAL CONSTRUCTION					18)		01-2016-10000-	Project Laborer	01-2016-10000- - (Project Laborer)		Lead Abatement	02-1130-10000- - (Lead Abatement)	02-1130-10000-
					19)		01-2017-10000-	Project Accountant	01-2017-10000- - (Project Accountant)		Mold Remediation	02-1150-10000- - (Mold Remediation)	02-1150-10000-
					20)		01-2018-10000-	Project Legal Administrator	01-2018-10000- - (Project Legal Administrator)		Core Drill	02-1600-10000- - (Core Drill)	02-1600-10000-
					21)		01-2019-10000-	Warranty Supervision	01-2019-10000- - (Warranty Supervision)		Clean Existing Tile	02-1800-10000- - (Clean Existing Tile)	02-1800-10000-
Yes					22)		01-2020-10000-	Punchlist Superintendent	01-2020-10000- - (Punchlist Superintendent)		Building Concrete	03-1000-10000- - (Building Concrete)	03-1000-10000-
No					23)		01-2021-10000-	Spare Labor	01-2021-10000- - (Spare Labor)		Reinforcing Subcontractor	03-1100-10000- - (Reinforcing Subcontractor)	03-1100-10000-
					24)		01-2022-10000-	Spare Labor	01-2022-10000- - (Spare Labor)		Rebar	03-1101-10000- - (Rebar)	03-1101-10000-
					25)		01-2023-10000-	Spare Labor	01-2023-10000- - (Spare Labor)		Rebar	03-1101-90000- - (Rebar)	03-1101-90000-
					26)		01-2024-10000-	Spare Labor	01-2024-10000- - (Spare Labor)		Mesh	03-1102-10000- - (Mesh)	03-1102-10000-
A					27)		01-2025-10000-	Spare Labor	01-2025-10000- - (Spare Labor)		Mesh	03-1102-90000- - (Mesh)	03-1102-90000-
P					28)		01-2026-10000-	Spare Labor	01-2026-10000- - (Spare Labor)		Concrete Forms & Access	03-1103-10000- - (Concrete Forms & Access)	03-1103-10000-
U					29)		01-2027-10000-	Spare Labor	01-2027-10000- - (Spare Labor)		Concrete Forms & Access	03-1103-90000- - (Concrete Forms & Access)	03-1103-90000-
R					30)		01-2028-10000-	Spare Labor	01-2028-10000- - (Spare Labor)		Void Forms & Access	03-1104-10000- - (Void Forms & Access)	03-1104-10000-
AO					31)		01-2029-10000-	Spare Labor	01-2029-10000- - (Spare Labor)		Void Forms & Access	03-1104-90000- - (Void Forms & Access)	03-1104-90000-
					32)		01-2030-10000-	Vehicle Expenses	01-2030-10000- - (Vehicle Expenses)		Pumping Sub.	03-1105-10000- - (Pumping Sub.)	03-1105-10000-
					33)		01-2031-10000-	Main Office Delivery	01-2031-10000- - (Main Office Delivery)		Pumping Sub.	03-1105-90000- - (Pumping Sub.)	03-1105-90000-
					34)		01-2032-10000	Water Truck Driver	01-2032-10000 - (Water Truck Driver)		Tiltwall Panel Books Sub.	03-1106-10000- - (Tiltwall Panel Books Sub.)	03-1106-10000-
					35)		01-2035-10000-	Tire repairs	01-2035-10000- - (Tire repairs)		Tiltwall Panel Books Sub.	03-1106-90000- - (Tiltwall Panel Books Sub.)	03-1106-90000-
					36)		01-2060-10000-	Employment Fees	01-2060-10000- - (Employment Fees)		Post Tension Slab	03-1107-10000- - (Post Tension Slab)	03-1107-10000-
					37)		01-2160-10000-	Blueprinting, Schedule, As-Builts	01-2160-10000- - (Blueprinting, Schedule, As-Builts)		Post Tension Slab	03-1107-90000- - (Post Tension Slab)	03-1107-90000-
					38)		01-2170-10000-	Photographs	01-2170-10000- - (Photographs)		Continuous Footing Subcontract	03-2100-10000- - (Continuous Footing Subcontract)	03-2100-10000-
					39)		01-2175-10000-	Real Time Video Camera	01-2175-10000- - (Real Time Video Camera)		Isolated Footing Subcontract	03-2200-10000- - (Isolated Footing Subcontract)	03-2200-10000-
					40)		01-2180-10000-	Security (Guard)	01-2180-10000- - (Security (Guard))		Caisson/ Piers	03-2600-10000- - (Caisson/ Piers)	03-2600-10000-
					41)		01-2190-10000-	Snow Removal	01-2190-10000- - (Snow Removal)		Structural Wall Subcontract	03-3100-10000- - (Structural Wall Subcontract)	03-3100-10000-
					42)		01-2195-10000-	Layout & Batter Boards/ CORE	01-2195-10000- - (Layout & Batter Boards/ CORE)		Form Footings	03-3101-10000- - (Form Footings)	03-3101-10000-
					43)		01-2220-10000-	Room & Board	01-2220-10000- - (Room & Board)		Form Footings	03-3101-90000- - (Form Footings)	03-3101-90000-
					44)		01-2250-10000-	Moving / Relocation Expense	01-2250-10000- - (Moving / Relocation Expense)		Form Pile Caps	03-3102-10000- - (Form Pile Caps)	03-3102-10000-
					45)		01-2300-10000-	Air Travel	01-2300-10000- - (Air Travel)		Form Pile Caps	03-3102-90000- - (Form Pile Caps)	03-3102-90000-
					46)		01-2700-10000-	Legal Fees	01-2700-10000- - (Legal Fees)		Form Walls to 6'	03-3103-10000- - (Form Walls to 6')	03-3103-10000-
					47)		01-2800-10000-	Accounting/Audit Fees	01-2800-10000- - (Accounting/Audit Fees)		Form Walls to 6`	03-3103-90000- - (Form Walls to 6`)	03-3103-90000-
					48)		01-2850-10000-	Textura Fee	01-2850-10000- - (Textura Fee)		Form Walls Over 6'	03-3104-10000- - (Form Walls Over 6')	03-3104-10000-
					49)		01-2900-10000-	Misc. Job Labor	01-2900-10000- - (Misc. Job Labor)		Form Walls Over 6`	03-3104-90000- - (Form Walls Over 6`)	03-3104-90000-
					50)		01-2901-10000-	Misc GC Job Carpentry	01-2901-10000- - (Misc GC Job Carpentry)		Form Piers or Columns	03-3105-10000- - (Form Piers or Columns)	03-3105-10000-
